County,ACA Bronze Rate Average,SHOP Bronze Rate Average,ACA Silver Rate Average,SHOP Silver Rate Average,ACA Gold Rate Average,SHOP Gold Rate Average,ACA Plans,SHOP Plans,ACA Carriers,SHOP Carriers,ACA Networks,SHOP Networks,ACA Platinum,SHOP Platinum,Bronze Score,Silver Score,Gold Score,Plan Score,Carrier Score,Network Score,Platinum Score,Total Score
Sierra,$555.00,$417.94,$686.97,$434.92,$824.59,$532.81,109,23,10,5,3,2,0,0,5.3,0.4,1.3,9.9,8.3,3,0,28.3
Siskiyou,$592.05,$417.94,$691.29,$434.92,$840.99,$532.81,90,21,7,4,3,2,0,0,0.0,0.0,0.0,8.7,6.3,3,0,17.9
Solano,$526.52,$498.49,$684.61,$613.94,$816.25,$741.02,118,37,13,7,3,2,1,1,21.6,20.1,20.6,5.8,7.1,3,2,80.3
Sonoma,$555.00,$417.94,$686.97,$568.44,$824.59,$689.70,110,29,11,6,3,2,1,1,5.3,16.2,16.5,7.4,6.9,3,2,57.4
Stanislaus,$555.00,$477.39,$669.14,$582.95,$795.87,$703.96,113,37,12,7,3,2,0,0,15.2,18.7,19.4,5.4,6.0,3,0,67.7
Sutter,$555.00,$417.94,$686.97,$434.92,$824.59,$532.81,109,23,10,5,3,2,0,0,5.3,0.4,1.3,9.9,8.3,3,0,28.3
Tehama,$555.00,$417.94,$686.97,$434.92,$824.59,$532.81,109,23,10,5,3,2,0,0,5.3,0.4,1.3,9.9,8.3,3,0,28.3
Trinity,$555.00,$417.94,$686.97,$434.92,$824.59,$532.81,109,23,10,5,3,2,0,0,5.3,0.4,1.3,9.9,8.3,3,0,28.3
Tulare,$555.00,$477.39,$669.14,$582.95,$795.87,$703.96,113,37,12,7,3,2,0,0,15.2,18.7,19.4,5.4,6.0,3,0,67.7
Tuolumne,$555.00,$417.94,$686.97,$434.92,$824.59,$532.81,109,23,10,5,3,2,0,0,5.3,0.4,1.3,9.9,8.3,3,0,28.3
Ventura,$555.00,$439.13,$679.52,$513.31,$807.54,$620.59,114,37,13,7,3,2,0,0,9.2,11.3,12.0,5.5,7.1,3,0,48.1
Yolo,$527.09,$442.03,$675.23,$560.50,$805.72,$677.25,117,37,12,7,3,2,0,0,13.5,16.3,16.8,5.7,6.0,3,0,61.2
Yuba,$555.00,$417.94,$686.97,$434.92,$824.59,$532.81,109,23,10,5,3,2,0,0,5.3,0.4,1.3,9.9,8.3,3,0,28.3
